X,Y,Co,Ni,Pb,Rock
2.386,3.077,9.32,21.32,77.36,S
2.544,1.972,10,29.72,77.88,K
2.807,3.347,10.6,21.4,30.8,S
4.308,1.933,11.92,29.72,56.4,K
4.383,1.081,16.32,26.2,66.4,Q
3.244,4.519,3.5,22.04,72.4,Q
3.925,3.785,15.08,21.76,60,Q
2.116,3.498,4.2,9.92,141,A
1.842,0.989,4.52,11.32,52.4,A
1.709,1.843,12.08,16.88,41.6,S
3.8,4.578,9.84,21.64,46,A
2.699,1.199,7.56,15.72,56.4,A
3.033,4.384,2.36,7.08,38.36,Q
4.232,1.588,8.84,17.4,52.8,K
4.75,1.369,11.96,23.76,32.92,K
2.341,4.135,5.32,10.8,42,A
2.827,3.667,4.68,6.68,21.48,Q
3.043,4.692,3.53,11.32,29.92,A
1.687,1.174,3.64,6.64,46.8,A
2.235,2.386,12.44,25.08,88.68,Q
3.122,1.695,12.92,34.72,72.88,K
2.219,2.774,13.04,31.52,56.52,K
3.185,2.092,11.2,35,43.68,K
3.514,5.119,9.28,21.76,33.36,A
4.459,2.624,6.84,15.84,34.64,K
4.339,1.473,10.8,18.6,64.8,Q
4.92,1.417,8.56,21.96,39.52,K
3.648,3.78,14.16,24.44,63.2,K
2.916,4.916,6.28,13.88,37.16,A
3.127,1.691,13.4,35.12,93.92,K
3.441,4.719,9.28,24.28,55.6,Q
3.336,4.613,5.92,23.28,49.2,Q
3.649,2.674,7.44,17.72,58.4,K
3.875,4.924,11.48,26.72,35.6,Q
2.612,4.114,4.88,7.44,58.4,A
2.34,4.141,5.48,10.6,36.88,A
3.811,1.318,12.6,26.6,39.8,K
3.661,3.788,14.64,20.8,69.6,K
4.34,3.736,11.24,21.96,46,S
2.972,0.988,9.16,28.88,229.56,S
2.286,3.068,9.68,12.8,56.6,S
1.813,2.116,11.32,20.56,48.8,S
3.379,4.308,8.52,24.8,36.44,Q
1.965,2.807,12.6,24.16,89.68,S
3.559,4.009,6.16,21.96,52,S
2.267,4.189,6.64,11.12,39.64,A
2.965,1.002,10.36,24.6,129.2,S
3.12,1.469,2.12,8,69.16,S
3.454,4.654,7.8,19.92,29.88,Q
1.071,1.567,9.96,15.28,37.48,S
3.573,3.542,9.56,16,77.2,Q
3.331,4.609,7,25.44,80.4,Q
3.541,1.739,6.32,20.8,43.6,S
3.303,3.963,11,20.32,80.8,S
3.316,2.987,14.6,23.6,48.8,Q
1.879,1.171,4,9.16,54.8,A
1.122,2.267,11.08,31.56,47.6,K
4.423,1.078,16.92,26.8,46.8,Q
1.241,1.155,4.52,12.68,36.52,A
1.706,1.848,11.92,19.96,41.2,S
3.26,5.42,11.72,28.6,35.8,K
4.081,0.897,11.2,10.92,32.76,Q
3.077,2.926,10.12,21.52,42.4,K
3.406,4.741,7.32,19.72,42.8,Q
3.699,3.8,11.6,19.28,80.8,K
1.619,2.883,6.8,16.08,50.4,S
3.196,1.814,12.92,26.12,84.16,K
3.447,4.733,8.4,17.68,39.92,Q
3.009,4.738,3.53,10,34,A
3.452,4.736,7.2,15,70.4,Q
2.908,1.263,9.84,14.72,34.56,A
4.578,1.512,13.52,27.2,38.96,K
3.512,5.124,9.64,22.92,34.64,A
3.312,2.991,12.52,19.4,41.6,Q
2.159,2.041,10.44,28.32,49.6,K
4.742,1.381,11.88,23.48,32.84,K
3.592,4.027,10.84,29.48,37.68,S
3.152,3.272,12.8,23.52,76.4,K
4.781,1.375,10.88,20.84,36.28,K
2.319,2.405,12.84,26.96,104.68,Q
3.617,2.084,12.8,26.2,78.8,K
2.278,0.929,4.08,6.56,35.4,A
3.792,2.695,6.76,13.4,55.2,K
4.113,2.7,1.55,7.16,84.4,K
3.043,4.698,3.92,10.44,27.04,A
3.271,2.16,13.32,32.6,59.04,Q
1.433,1.525,7.36,16.2,49.6,Q
3.184,2.098,11.92,37.72,44.88,K
3.675,4.293,8.6,22.96,26.76,S
3.681,5.69,12.64,28.36,59.2,K
2.461,3.423,3.14,6.08,29.36,Q
4.576,1.411,11.28,25.76,34.44,K
2.223,0.58,9.6,24.52,44,K
3.031,1.201,6.44,10.36,52.56,S
3.347,2.505,6.96,19.2,41.2,K
2.465,4.003,3.19,4.72,24.64,A
3.175,2.102,12.2,37.2,42.68,K
3.733,0.974,8.92,26.52,36.6,K
3.085,1.677,11.8,29.8,63.92,K
2.595,3.638,3.71,4.76,44.4,Q
4.279,3.283,13.36,24.64,36.36,K
2.933,0.978,12.4,16,146.8,S
3.59,4.033,7.92,24.84,37.56,S
2.883,1.237,8.52,16.12,36.56,A
2.429,1.62,11.84,26.64,77.6,S
2.333,2.417,9.12,21.32,107.6,Q
0.626,1.652,7.28,14.4,37.12,K
2.969,0.778,12.44,33.76,157.28,K
0.971,1.576,10.08,15.2,35.64,S
1.392,1.846,10.6,20,37.68,S
2.54,3.32,9.76,17.6,53.6,S
1.738,1.771,11.92,16.24,41.6,S
2.243,3.031,11.8,14.6,34,S
3.656,2.63,2.07,5.36,80.4,K
2.325,4.143,5.48,10.92,33.24,A
4.55,1.416,12.4,27.72,41.6,K
4.325,1.436,11.6,13.72,36.76,Q
3.669,4.291,8.44,18.72,35.12,S
1.877,1.186,3.8,6.44,45.2,A
3.044,1.123,12,18.68,38.24,S
3.001,2.581,9.6,22.2,42.04,K
3.136,2.091,14.2,30.32,38.72,K
2.633,3.65,3.09,5.04,50.4,Q
3.721,4.239,8,12.28,41.2,S
2.333,2.367,12.36,28.2,101.92,Q
4.038,2.354,12.2,32.92,44,P
3.117,1.702,14.12,35,58.6,K
1.824,0.999,3.75,7.08,56.4,A
2.85,1.89,2.81,7.08,53.6,K
2.502,3.988,3.76,5.2,22.36,A
1.443,1.509,7.76,20.68,50.8,Q
2.008,1.35,5,8.96,35.04,A
2.978,4.009,6.52,12.4,25.4,Q
1.662,1.425,11.24,16.56,82,S
1.587,1.08,5.16,11.44,54,A
3.994,3.814,14.48,28.32,80.4,Q
4.383,2.279,7.48,22.72,43.6,K
2.901,4.919,4.64,14.92,28.8,A
4.156,1.242,7.84,17.92,32.48,P
4.475,3.526,15.28,20.36,78.8,K
2.58,3.654,3.55,4.64,20.2,Q
0.701,1.997,12.6,32.2,64.8,S
3.649,3.887,11.48,29.24,51.2,K
2.623,0.853,11.64,27.36,59.2,S
1.315,1.975,11.12,28.72,56.4,S
3.656,2.67,11.12,25.4,70,K
4.426,0.821,13,26,27.2,K
2.882,3.693,4.6,5.4,27.04,Q
1.108,1.535,8.08,23.16,195.6,S
4.48,1.089,10.28,19.6,36.52,K
1.468,2.192,10.92,30.68,44.4,S
2.319,4.103,5.48,10.92,34.88,A
3.585,4.04,8,25.76,66,S
3.647,3.786,13.84,20.96,70.8,K
2.31,2.732,12.72,23.24,39.2,K
3.962,2.009,12.4,34.4,78.4,K
3.47,5.555,13.48,29.68,48.4,K
1.839,0.995,4.24,10.12,55.6,A
1.706,1.165,4.36,8.68,60.8,A
2.774,1.544,8.44,20.64,45.72,S
3.493,5.092,9.8,20.44,34.32,A
1.695,3.227,5.88,21.44,56.68,A
4.409,1.084,17.32,27,48.8,Q
2.596,3.212,8.64,22,45.16,S
1.897,1.22,3.48,4.76,27,A
2.083,1.695,6,16.68,56.4,K
3.673,4.278,9.28,19.28,34,S
2.731,3.002,9,20.92,32.44,K
4.264,3.391,11.16,24.96,135.2,K
3.792,2.707,8.16,17.12,45.6,K
3.39,1.048,10.12,29.32,57.28,K
3.184,5.075,7.08,16.32,23.68,S
3.644,2.677,9.56,23.12,51.2,K
3.504,5.13,8.6,18.28,36.8,A
2.242,3.036,10.32,12.72,34.08,S
3.332,4.628,4.52,17.2,59.2,Q
3.498,3.196,15.12,22.92,36.24,K
1.883,1.176,3.92,7.52,49.6,A
3.322,3.001,14.32,23.12,44.4,Q
1.047,1.922,14.2,22.52,52,S
3.843,3.121,10.8,35.28,44.4,Q
1.301,0.599,13.24,18,64.8,S
1.106,1.548,9.16,19.44,65.2,S
1.114,1.535,9.12,26.16,226.4,S
1.511,0.734,7.84,21.96,64.4,A
1.317,1.501,6.44,19.64,66.4,Q
1.439,1.523,7.24,16.52,52.4,Q
1.651,1.157,3.88,8.36,46.4,A
1.701,1.169,4.24,9.04,52.4,A
1.857,0.659,10.08,24.44,118,S
1.346,1.954,10.56,20.24,38.12,S
1.354,1.966,10.72,24,38.32,S
1.35,1.97,10.12,27.08,64.8,S
1.932,1.004,4.52,5.24,37,A
1.837,1.037,3.88,8.16,46.8,A
1.69,1.858,12.96,22.36,54.8,S
1.72,1.833,11.6,15.96,50,S
1.543,2.537,10.4,28.72,52.4,K
2.353,1.274,4.32,4.2,32.56,A
1.889,2.462,10.2,31.04,65.2,K
2.327,2.417,9.68,22.6,116.48,Q
2.504,1.965,10.44,25.64,62.36,K
2.599,1.996,13.16,53.2,172.12,K
2.561,1.984,13.56,42.92,63.16,K
2.898,1.274,6.52,15,38.28,A
2.902,1.263,10.32,22.64,32.92,A
3.085,1.214,7.68,11.28,68.4,S
3.046,1.205,11.16,13.36,32.76,S
3.025,1.201,5.6,7.2,40.2,S
2.04,3.153,5,8.24,41.88,A
2.234,2.737,14.6,24.44,47.8,K
2.22,2.732,12.28,23.88,44.4,K
2.224,2.728,13.8,27.44,41.04,K
2.58,2.311,8.84,23.92,51.24,K
2.254,3.045,9.68,13.2,54.28,S
2.656,2.656,12.52,18,138.56,K
3.465,1.393,12.52,17.6,86.68,S
2.553,3.314,8.8,15.72,38,S
2.538,3.314,8.96,17.32,90.36,S
2.402,3.979,4.08,8.2,26.96,A
2.456,3.99,3.27,4.92,27.68,A
2.537,3.768,3.79,5.68,26.84,A
2.584,3.649,3.72,5.6,48.4,Q
3.887,1.663,15.2,32.4,56.8,K
4.412,1.088,17.72,26.4,47.6,Q
2.795,3.645,4.24,6.32,37.76,Q
2.837,3.679,5.08,8,22.56,Q
2.832,3.676,6.68,11.8,18.96,Q
3.308,2.963,17.32,23.92,50,Q
3.422,2.851,9.52,26.2,70.4,S
3.692,2.43,5,8.76,42.8,K
4.331,1.449,12,18.72,37.88,Q
4.333,1.455,10.32,16.72,63.2,Q
4.502,1.167,12.12,20.12,37.08,Q
3.228,3.617,13.32,24,80.4,K
3.768,2.775,10.8,17.52,31.88,K
3.768,2.675,12.12,28.8,46.8,K
3.798,2.694,9.68,19.12,51.2,K
4.59,1.414,11.72,21.92,30.76,K
4.571,1.407,10.72,26.4,38.4,K
4.745,1.372,11.96,23.68,34.12,K
4.788,1.647,8.8,26.72,32.68,K
2.974,4.937,5.88,21.52,36.28,A
2.906,4.922,4.32,13.2,21.6,A
3.109,4.729,3.12,8.88,28.56,A
3.04,4.713,3.66,9.36,26,A
3.919,3.466,9.76,17.48,28.6,Q
4.189,3.045,8.08,20.32,67.6,P
3.652,4.312,10.72,27.72,56,S
3.894,3.805,14.32,20.12,91.2,Q
3.917,3.773,13.56,22.28,43.6,Q
3.925,3.779,14.24,21,29.68,Q
4.252,3.292,11.8,22.24,65.6,K
4.292,3.29,11.92,28.64,52.8,K
4.283,3.278,13.88,26.48,34.68,K
3.53,4.999,7.44,16.76,31.64,A
4.07,4.157,14.36,28.44,50,S
4.61,3.315,12.68,20.72,48,K
3.605,5.345,9.04,17.56,35,S
2.672,3.558,8.28,18.6,38.2,Q
3.589,4.443,10.8,21.52,33.36,A
4.01,4.713,12,23.92,26.56,A
2.942,3.137,10.92,14.6,25.88,Q
1.409,2.748,8.12,14.64,31.16,S
3.978,2.91,9.12,26.4,37.72,K
2.715,2.1,9.12,24.24,41,K
3.87,0.762,11.72,13.12,30.84,S
2.445,2.521,10.56,31.52,68.12,K
3.827,2.219,6.36,14.52,54.4,K
2.488,1.064,8.52,16.12,46.8,A
1.646,0.524,14.44,25.24,55.2,K
3.136,2.37,5.2,14.92,35.28,P
3.74,5.134,10.84,24.24,30.16,A
1.678,2.327,9.68,22.36,72.4,S
4.399,3.18,11.96,30.2,108.8,P
3.935,4.368,12.76,25.36,45.6,S
3.33,1.604,9.92,25.4,144.36,S
3.557,2.64,8.84,18.92,54.4,K
1.376,0.945,9.68,23.52,94.4,A
2.024,2.251,12.6,23.12,142,S
3.243,4.518,5.8,22.52,93.6,Q
4.097,1.798,13.8,35.72,46.4,K
2.326,3.633,2.36,6.28,31.92,A
3.514,4.098,6.56,11.64,27.24,S
3.168,4.173,3.94,15.4,30.28,A
4.292,1.039,11.12,20.6,36.48,Q
2.834,0.988,15.24,25.56,53.6,S
4.443,1.723,12.72,19.6,48.4,Q
3.482,2.295,10.32,30.8,300,K
3.665,4.789,8.72,13.88,21.76,A
4.173,2.144,13.2,29.6,48.8,K
2.143,1.139,4.44,8.92,105.6,A
3.061,2.025,10.92,25.32,35.72,K
2.985,1.679,14.4,43.68,61.44,K
3.438,3.752,6.36,18.6,43.6,K
4.637,0.956,12.8,22.52,35.32,K
3.049,5.285,12.4,27.16,48.4,K
1.106,1.366,3.96,7.92,55.2,A
3.633,2.986,12.4,22.32,51.6,K
3.708,3.331,9.32,23.28,41.2,K
2.909,1.334,6.12,11.24,74.36,A
2.102,2.597,15.32,25.36,70.4,K
1.797,1.215,4.24,8.88,58,A
3.255,1.253,11.4,24.52,239.96,S
4.129,3.601,10.6,23.6,55.2,K
3.363,3.407,14.8,19.32,34.84,K
1.452,1.29,5.8,13.2,56.4,A
4.745,3.105,5.24,9.52,32.68,A
0.491,1.862,7.88,18.16,48.4,S
2.369,2.176,15.6,20.2,139.16,Q
3.676,1.528,11.12,19.52,88.32,S
1.257,2.057,11.44,19.64,41.6,S
3.903,2.565,1.65,1.98,62.4,K
1.603,1.981,13.04,17.92,38.24,K
3.395,5.21,9.8,19.48,25.56,S
2.564,1.409,8.44,20.4,152.8,A
0.912,2.132,10.48,30.8,51.6,K
3.093,3.828,7.96,9.36,30.92,S
0.836,1.787,14.32,22.84,50,S
2.758,0.643,8.08,18.64,88,K
3.017,3.482,12.8,18.8,26.32,K
3.212,2.716,12.52,24,60.4,S
4.022,1.453,10.6,36.72,52,K
4.054,3.256,8.92,20.08,52.8,K
2.521,2.867,13.2,33.12,39.36,K
3.319,4.864,5.08,15.4,21.12,A
2.823,4.249,5.36,8.2,35.4,A
1.722,0.869,4.08,9.68,67.2,A
2.251,3.288,1.92,4.68,18.68,Q
1.182,1.711,12.56,26.24,55.6,S
1.83,3.018,10.12,27.88,69.32,S
3.752,1.874,13.6,28.4,55.6,K
2.218,1.485,12.04,16.36,45.2,A
1.873,1.56,9.68,20.88,60.4,S
3.6,1.183,10,27.4,49.72,K
2.887,4.889,3.74,14.44,37.52,A
1.527,1.636,7.92,13.2,84.8,S
1.333,2.407,13.4,37.52,46,K
2.413,0.718,12.48,23.92,38.16,S
1.948,1.906,12,26.04,45.6,S
1.754,2.672,10.36,29.8,43.6,K
2.294,1.83,9.72,23.24,32.76,K
2.639,1.755,9.96,17.44,67.36,S
1.905,3.363,4.8,9.36,39.76,A
2.175,2.942,14.8,30.08,43.8,S
2.791,2.446,9.16,24.12,57.52,K
2.866,2.791,11.2,24.32,45.96,K
3.407,1.953,9.12,24.6,38.4,K
3.946,1.107,8.28,20.6,33,K
2.452,3.995,3.56,5.6,28.24,A
2.747,3.903,5.44,11.4,21.12,A
3.287,3.061,13.2,26.4,52.4,Q
4.367,1.377,20.6,29.4,47.2,Q
4.713,1.302,9.68,23.8,33.64,K
4.248,2.489,5.24,21.04,48.8,P
3.784,3.677,13.92,18,34.32,K
4.324,2.835,8.72,22.72,60,K
3.859,4.022,13.32,29.12,60.8,S
2.597,3.212,10.6,14,26.2,S
